identity,dataVersion,timeStamp,inUseHosts,inUseLicenses,inUseProxiedHosts,runningSteps
ecmaster,v0,20120110093200,0,0,0,3
ecmaster,v0,20120110093700,0,0,0,3
ecmaster,v0,20120110094200,0,0,0,3
ecmaster,v0,20120110094700,0,0,0,3
ecmaster,v0,20120110095200,0,0,0,3
ecmaster,v0,20120110095700,0,0,0,3
ecmaster,v0,20120110100200,0,0,0,3
ecmaster,v0,20120110100700,0,0,0,4
ecmaster,v0,20120110101201,0,0,0,3
ecmaster,v0,20120110101700,0,0,0,3
ecmaster,v0,20120110102200,0,0,0,3
ecmaster,v0,20120110102700,0,0,0,3
ecmaster,v0,20120110103200,0,0,0,3
ecmaster,v0,20120110103700,0,0,0,3
ecmaster,v0,20120110104200,0,0,0,3
ecmaster,v0,20120110104700,0,0,0,3
ecmaster,v0,20120110105200,0,0,0,3
ecmaster,v0,20120110105700,0,0,0,3
ecmaster,v0,20120110110200,0,0,0,3
ecmaster,v0,20120110110700,0,0,0,3
ecmaster,v0,20120110111200,0,0,0,3
ecmaster,v0,20120110111700,0,0,0,3
ecmaster,v0,20120110112200,0,0,0,3
ecmaster,v0,20120110112700,0,0,0,3
ecmaster,v0,20120110113200,0,0,0,3
ecmaster,v0,20120110113700,0,0,0,3
ecmaster,v0,20120110114200,0,0,0,3
ecmaster,v0,20120110114700,0,0,0,3
ecmaster,v0,20120110115200,0,0,0,3
ecmaster,v0,20120110115700,0,0,0,3
ecmaster,v0,20120110120200,0,0,0,3
ecmaster,v0,20120110120700,0,0,0,3
ecmaster,v0,20120110121200,0,0,0,3
ecmaster,v0,20120110121700,0,0,0,3
ecmaster,v0,20120110122200,0,0,0,3
ecmaster,v0,20120110122701,0,0,0,3
ecmaster,v0,20120110123200,0,0,0,3
ecmaster,v0,20120110123700,0,0,0,3
ecmaster,v0,20120110124200,0,0,0,3
ecmaster,v0,20120110124700,0,0,0,3
ecmaster,v0,20120110125200,0,0,0,3
ecmaster,v0,20120110125700,0,0,0,3
ecmaster,v0,20120110130200,0,0,0,3
ecmaster,v0,20120110130700,0,0,0,3
ecmaster,v0,20120110131200,0,0,0,3
ecmaster,v0,20120110131700,0,0,0,3
ecmaster,v0,20120110132200,0,0,0,3
ecmaster,v0,20120110132700,0,0,0,3
ecmaster,v0,20120110133200,0,0,0,3
ecmaster,v0,20120110133700,0,0,0,3
ecmaster,v0,20120110134200,0,0,0,3
ecmaster,v0,20120110134700,0,0,0,3
ecmaster,v0,20120110135200,0,0,0,3
ecmaster,v0,20120110135701,0,0,0,3
ecmaster,v0,20120110140200,0,0,0,3
ecmaster,v0,20120110140700,0,0,0,3
ecmaster,v0,20120110141200,0,0,0,3
ecmaster,v0,20120110141701,0,0,0,3
ecmaster,v0,20120110142200,0,0,0,3
ecmaster,v0,20120110142700,0,0,0,3
ecmaster,v0,20120110143200,0,0,0,3
ecmaster,v0,20120110143700,0,0,0,3
ecmaster,v0,20120110144200,0,0,0,3
ecmaster,v0,20120110144700,0,0,0,3
ecmaster,v0,20120110145200,0,0,0,3
ecmaster,v0,20120110145700,0,0,0,3
ecmaster,v0,20120110150200,0,0,0,3
ecmaster,v0,20120110150700,0,0,0,3
ecmaster,v0,20120110151200,0,0,0,3
ecmaster,v0,20120110151700,0,0,0,3
ecmaster,v0,20120110152200,0,0,0,3
ecmaster,v0,20120110152700,0,0,0,3
ecmaster,v0,20120110153200,0,0,0,3
ecmaster,v0,20120110153700,0,0,0,3
ecmaster,v0,20120110154200,0,0,0,3
ecmaster,v0,20120110154700,0,0,0,3
ecmaster,v0,20120110155200,0,0,0,3
ecmaster,v0,20120110155700,0,0,0,3
ecmaster,v0,20120110160200,0,0,0,3
ecmaster,v0,20120110160700,0,0,0,3
ecmaster,v0,20120110161200,0,0,0,3
ecmaster,v0,20120110161700,0,0,0,3
ecmaster,v0,20120110162200,0,0,0,3
ecmaster,v0,20120110162700,0,0,0,3
ecmaster,v0,20120110163201,0,0,0,3
ecmaster,v0,20120110163700,0,0,0,3
ecmaster,v0,20120110164200,0,0,0,3
ecmaster,v0,20120110164700,0,0,0,3
ecmaster,v0,20120110165200,0,0,0,3
ecmaster,v0,20120113151721,0,0,0,1
ecmaster,v0,20120113152200,0,0,0,4
ecmaster,v0,20120113153327,0,0,0,3
ecmaster,v0,20120113153803,0,0,0,2
ecmaster,v0,20120113154246,0,0,0,2
ecmaster,v0,20120113154722,0,0,0,2
ecmaster,v0,20120113155206,0,0,0,2
ecmaster,v0,20120113155700,0,0,0,4
ecmaster,v0,20120113160310,0,0,0,3
ecmaster,v0,20120113160802,0,0,0,2
ecmaster,v0,20120113161225,0,0,0,2
ecmaster,v0,20120113161700,0,0,0,3
ecmaster,v0,20120113162200,0,0,0,3
ecmaster,v0,20120113162700,0,0,0,3
ecmaster,v0,20120113163200,0,0,0,3
ecmaster,v0,20120113163700,0,0,0,3
ecmaster,v0,20120113164200,0,0,0,3
ecmaster,v0,20120113164700,0,0,0,3
ecmaster,v0,20120113165200,0,0,0,3
ecmaster,v0,20120113165700,0,0,0,3
ecmaster,v0,20120113170200,0,0,0,3
ecmaster,v0,20120113170700,0,0,0,3
ecmaster,v0,20120113171200,0,0,0,3
ecmaster,v0,20120113171700,0,0,0,3
ecmaster,v0,20120113172200,0,0,0,3
ecmaster,v0,20120113172700,0,0,0,3
ecmaster,v0,20120113173201,0,0,0,3
ecmaster,v0,20120113173700,0,0,0,3
ecmaster,v0,20120113174200,0,0,0,3
ecmaster,v0,20120113174701,0,0,0,3
ecmaster,v0,20120113175200,0,0,0,3
ecmaster,v0,20120113175700,0,0,0,3
ecmaster,v0,20120113180201,0,0,0,3
ecmaster,v0,20120113180700,0,0,0,3
ecmaster,v0,20120113181200,0,0,0,3
ecmaster,v0,20120113181701,0,0,0,3
ecmaster,v0,20120113182200,0,0,0,3
ecmaster,v0,20120113182700,0,0,0,3
ecmaster,v0,20120113183200,0,0,0,3
ecmaster,v0,20120113183700,0,0,0,3
ecmaster,v0,20120113184200,0,0,0,3
ecmaster,v0,20120113184700,0,0,0,3
ecmaster,v0,20120113185200,0,0,0,3
ecmaster,v0,20120113185700,0,0,0,3
ecmaster,v0,20120113190200,0,0,0,4
ecmaster,v0,20120113190700,0,0,0,3
ecmaster,v0,20120113191200,0,0,0,3
ecmaster,v0,20120113191700,0,0,0,3
ecmaster,v0,20120113192200,0,0,0,3
ecmaster,v0,20120113192701,0,0,0,3
ecmaster,v0,20120113193200,0,0,0,3
ecmaster,v0,20120113193701,0,0,0,3
ecmaster,v0,20120113194201,0,0,0,3
ecmaster,v0,20120113194700,0,0,0,3
ecmaster,v0,20120113195201,0,0,0,3
ecmaster,v0,20120113195700,0,0,0,3
ecmaster,v0,20120113200201,0,0,0,3
ecmaster,v0,20120113200701,0,0,0,3
ecmaster,v0,20120113201201,0,0,0,3
ecmaster,v0,20120113201700,0,0,0,3
ecmaster,v0,20120113202200,0,0,0,3
ecmaster,v0,20120113202700,0,0,0,3
ecmaster,v0,20120113203201,0,0,0,3
ecmaster,v0,20120113203700,0,0,0,3
ecmaster,v0,20120113204200,0,0,0,3
ecmaster,v0,20120113204700,0,0,0,3
ecmaster,v0,20120113205200,0,0,0,3
ecmaster,v0,20120113205700,0,0,0,3
ecmaster,v0,20120113210201,0,0,0,3
ecmaster,v0,20120113210700,0,0,0,3
ecmaster,v0,20120113211200,0,0,0,3
ecmaster,v0,20120113211700,0,0,0,3
ecmaster,v0,20120113212200,0,0,0,3
ecmaster,v0,20120113212700,0,0,0,3
ecmaster,v0,20120113213200,0,0,0,3
ecmaster,v0,20120113213700,0,0,0,3
ecmaster,v0,20120113214200,0,0,0,3
ecmaster,v0,20120113214700,0,0,0,3
ecmaster,v0,20120113215200,0,0,0,3
ecmaster,v0,20120113215700,0,0,0,3
ecmaster,v0,20120113220200,0,0,0,3
ecmaster,v0,20120113220700,0,0,0,3
ecmaster,v0,20120113221200,0,0,0,3
ecmaster,v0,20120113221700,0,0,0,3
ecmaster,v0,20120113222200,0,0,0,3
ecmaster,v0,20120113222700,0,0,0,3
ecmaster,v0,20120115165703,0,0,0,4
ecmaster,v0,20120115170200,0,0,0,4
ecmaster,v0,20120115170700,0,0,0,3
ecmaster,v0,20120115171200,0,0,0,3
ecmaster,v0,20120115171700,0,0,0,3
ecmaster,v0,20120115172200,0,0,0,3
ecmaster,v0,20120115172700,0,0,0,3
ecmaster,v0,20120115173200,0,0,0,3
ecmaster,v0,20120116091701,0,0,0,4
ecmaster,v0,20120116092315,0,0,0,3
ecmaster,v0,20120116092805,0,0,0,3
ecmaster,v0,20120116093245,0,0,0,2
ecmaster,v0,20120116093722,0,0,0,2
ecmaster,v0,20120116094201,0,0,0,2
ecmaster,v0,20120116094701,0,0,0,4
ecmaster,v0,20120116095314,0,0,0,5
ecmaster,v0,20120116100310,0,0,0,3
ecmaster,v0,20120116100802,0,0,0,2
ecmaster,v0,20120116101226,0,0,0,2
ecmaster,v0,20120116101700,0,0,0,3
ecmaster,v0,20120116102200,0,0,0,3
ecmaster,v0,20120116102701,0,0,0,3
ecmaster,v0,20120116103201,0,0,0,3
ecmaster,v0,20120116103700,0,0,0,3
ecmaster,v0,20120116104200,0,0,0,3
ecmaster,v0,20120116104701,0,0,0,3
ecmaster,v0,20120116105200,0,0,0,3
ecmaster,v0,20120116105700,0,0,0,3
ecmaster,v0,20120116110200,0,0,0,4
ecmaster,v0,20120116110700,0,0,0,3
ecmaster,v0,20120116111200,0,0,0,3
ecmaster,v0,20120116111700,0,0,0,3
ecmaster,v0,20120116112200,0,0,0,3
ecmaster,v0,20120116112700,0,0,0,3
ecmaster,v0,20120116113200,0,0,0,3
ecmaster,v0,20120116113700,0,0,0,3
ecmaster,v0,20120116114201,0,0,0,3
ecmaster,v0,20120116114701,0,0,0,3
ecmaster,v0,20120116115200,0,0,0,3
ecmaster,v0,20120116115701,0,0,0,3
ecmaster,v0,20120116120200,0,0,0,3
ecmaster,v0,20120116120700,0,0,0,3
ecmaster,v0,20120116121200,0,0,0,3
ecmaster,v0,20120116132700,0,0,0,2
ecmaster,v0,20120116133302,0,0,0,2
ecmaster,v0,20120116133702,0,0,0,2
ecmaster,v0,20120116134217,0,0,0,2
ecmaster,v0,20120116134701,0,0,0,4
ecmaster,v0,20120116135313,0,0,0,3
ecmaster,v0,20120116135803,0,0,0,2
ecmaster,v0,20120116140227,0,0,0,2
ecmaster,v0,20120116140714,0,0,0,2
ecmaster,v0,20120116141200,0,0,0,4
ecmaster,v0,20120116141813,0,0,0,3
ecmaster,v0,20120116142302,0,0,0,2
ecmaster,v0,20120116142700,0,0,0,3
ecmaster,v0,20120116143200,0,0,0,3
ecmaster,v0,20120116143700,0,0,0,3
ecmaster,v0,20120116144201,0,0,0,3
ecmaster,v0,20120116144701,0,0,0,3
ecmaster,v0,20120116145200,0,0,0,3
ecmaster,v0,20120116145700,0,0,0,3
ecmaster,v0,20120116150200,0,0,0,3
ecmaster,v0,20120116150701,0,0,0,3
ecmaster,v0,20120116151200,0,0,0,3
ecmaster,v0,20120116151700,0,0,0,3
ecmaster,v0,20120116152201,0,0,0,3
ecmaster,v0,20120116152701,0,0,0,3
ecmaster,v0,20120116153200,0,0,0,3
ecmaster,v0,20120116153700,0,0,0,3
ecmaster,v0,20120116154200,0,0,0,3
ecmaster,v0,20120116154700,0,0,0,3
ecmaster,v0,20120116155200,0,0,0,3
ecmaster,v0,20120116155700,0,0,0,3
ecmaster,v0,20120116160200,0,0,0,3
ecmaster,v0,20120116160700,0,0,0,3
ecmaster,v0,20120116161200,0,0,0,3
ecmaster,v0,20120116161700,0,0,0,3
ecmaster,v0,20120116162200,0,0,0,3
ecmaster,v0,20120116162700,0,0,0,3
ecmaster,v0,20120116163200,0,0,0,3
ecmaster,v0,20120116163700,0,0,0,3
ecmaster,v0,20120116164200,0,0,0,3
ecmaster,v0,20120116164700,0,0,0,3
ecmaster,v0,20120116165201,0,0,0,3
ecmaster,v0,20120116165700,0,0,0,3
ecmaster,v0,20120116204700,0,0,0,2
ecmaster,v0,20120116205200,0,0,0,2
ecmaster,v0,20120116205701,0,0,0,3
ecmaster,v0,20120116210200,0,0,0,2
ecmaster,v0,20120116220700,0,0,0,2
ecmaster,v0,20120116221200,0,0,0,3
ecmaster,v0,20120116221700,0,0,0,2
ecmaster,v0,20120116222200,0,0,0,2
ecmaster,v0,20120117081802,0,0,0,2
ecmaster,v0,20120117082202,0,0,0,3
ecmaster,v0,20120117082717,0,0,0,2
ecmaster,v0,20120117083203,0,0,0,4
ecmaster,v0,20120117083700,0,0,0,3
ecmaster,v0,20120117084200,0,0,0,3
ecmaster,v0,20120117084700,0,0,0,3
ecmaster,v0,20120117085200,0,0,0,3
ecmaster,v0,20120117085700,0,0,0,3
ecmaster,v0,20120117094200,0,0,0,3
ecmaster,v0,20120117094700,0,0,0,3
ecmaster,v0,20120117095200,0,0,0,3
ecmaster,v0,20120117095700,0,0,0,3
ecmaster,v0,20120117100200,0,0,0,3
ecmaster,v0,20120117100700,0,0,0,3
ecmaster,v0,20120117101201,0,0,0,3
ecmaster,v0,20120117101700,0,0,0,3
ecmaster,v0,20120117102200,0,0,0,3
ecmaster,v0,20120117102700,0,0,0,3
ecmaster,v0,20120117103200,0,0,0,3
ecmaster,v0,20120117103700,0,0,0,3
ecmaster,v0,20120117104200,0,0,0,3
ecmaster,v0,20120117104700,0,0,0,3
ecmaster,v0,20120117105200,0,0,0,3
ecmaster,v0,20120117105700,0,0,0,3
ecmaster,v0,20120117110200,0,0,0,4
ecmaster,v0,20120117110700,0,0,0,3
ecmaster,v0,20120117111200,0,0,0,3
ecmaster,v0,20120117111700,0,0,0,3
ecmaster,v0,20120117112200,0,0,0,3
ecmaster,v0,20120117112700,0,0,0,3
ecmaster,v0,20120117113201,0,0,0,3
ecmaster,v0,20120117113700,0,0,0,3
ecmaster,v0,20120117121200,0,0,0,3
ecmaster,v0,20120117121700,0,0,0,3
ecmaster,v0,20120117122200,0,0,0,3
ecmaster,v0,20120117122700,0,0,0,3
ecmaster,v0,20120117123200,0,0,0,3
ecmaster,v0,20120117123700,0,0,0,3
ecmaster,v0,20120117124200,0,0,0,3
ecmaster,v0,20120117124700,0,0,0,3
ecmaster,v0,20120117125200,0,0,0,3
ecmaster,v0,20120117125701,0,0,0,3
ecmaster,v0,20120117130200,0,0,0,3
ecmaster,v0,20120117130700,0,0,0,3
ecmaster,v0,20120117131200,0,0,0,3
ecmaster,v0,20120117131700,0,0,0,3
ecmaster,v0,20120117132200,0,0,0,3
ecmaster,v0,20120117132700,0,0,0,3
ecmaster,v0,20120117133200,0,0,0,3
ecmaster,v0,20120117133700,0,0,0,3
ecmaster,v0,20120117134200,0,0,0,3
ecmaster,v0,20120117134700,0,0,0,3
ecmaster,v0,20120117135200,0,0,0,3
ecmaster,v0,20120117135700,0,0,0,3
ecmaster,v0,20120117140200,0,0,0,3
ecmaster,v0,20120117140700,0,0,0,3
ecmaster,v0,20120117141200,0,0,0,3
ecmaster,v0,20120117141700,0,0,0,3
ecmaster,v0,20120117142200,0,0,0,3
ecmaster,v0,20120117142700,0,0,0,3
ecmaster,v0,20120117143200,0,0,0,3
ecmaster,v0,20120117143700,0,0,0,3
ecmaster,v0,20120117144200,0,0,0,3
ecmaster,v0,20120117144700,0,0,0,3
ecmaster,v0,20120117145200,0,0,0,3
ecmaster,v0,20120117145700,0,0,0,3
ecmaster,v0,20120117150200,0,0,0,3
ecmaster,v0,20120117150700,0,0,0,3
ecmaster,v0,20120117151200,0,0,0,3
ecmaster,v0,20120117151700,0,0,0,3
ecmaster,v0,20120117152200,0,0,0,3
ecmaster,v0,20120117152700,0,0,0,3
ecmaster,v0,20120117153200,0,0,0,3
ecmaster,v0,20120117153700,0,0,0,3
ecmaster,v0,20120117154200,0,0,0,3
ecmaster,v0,20120117154700,0,0,0,3
ecmaster,v0,20120117155200,0,0,0,3
ecmaster,v0,20120117155700,0,0,0,3
ecmaster,v0,20120117160200,0,0,0,3
ecmaster,v0,20120117160700,0,0,0,3
ecmaster,v0,20120117161200,0,0,0,3
ecmaster,v0,20120117161700,0,0,0,3
ecmaster,v0,20120117162200,0,0,0,3
ecmaster,v0,20120117162701,0,0,0,3
ecmaster,v0,20120117163200,0,0,0,3
ecmaster,v0,20120117163700,0,0,0,3
ecmaster,v0,20120117164200,0,0,0,3
ecmaster,v0,20120117164700,0,0,0,3
ecmaster,v0,20120117173200,0,0,0,3
ecmaster,v0,20120117173700,0,0,0,3
ecmaster,v0,20120117174200,0,0,0,3
ecmaster,v0,20120117174700,0,0,0,3
ecmaster,v0,20120117175200,0,0,0,3
ecmaster,v0,20120117175700,0,0,0,3
ecmaster,v0,20120117180200,0,0,0,3
ecmaster,v0,20120117180700,0,0,0,3
ecmaster,v0,20120117181200,0,0,0,3
ecmaster,v0,20120117181700,0,0,0,3
ecmaster,v0,20120117182200,0,0,0,3
ecmaster,v0,20120117182700,0,0,0,3
ecmaster,v0,20120117183200,0,0,0,3
ecmaster,v0,20120117183700,0,0,0,3
ecmaster,v0,20120117184201,0,0,0,3
ecmaster,v0,20120117184701,0,0,0,3
ecmaster,v0,20120117185201,0,0,0,3
ecmaster,v0,20120117185700,0,0,0,3
ecmaster,v0,20120117190200,0,0,0,3
ecmaster,v0,20120117190700,0,0,0,3
ecmaster,v0,20120117203945,0,0,0,1
ecmaster,v0,20120121114224,0,0,0,2
ecmaster,v0,20120121114700,0,0,0,4
ecmaster,v0,20120121115313,0,0,0,4
ecmaster,v0,20120121152802,0,0,0,2
ecmaster,v0,20120121153202,0,0,0,2
ecmaster,v0,20120121153713,0,0,0,2
ecmaster,v0,20120122134738,0,0,0,3
ecmaster,v0,20120122135200,0,0,0,4
ecmaster,v0,20120122140307,0,0,0,3
ecmaster,v0,20120122143734,0,0,0,2
ecmaster,v0,20120122144200,0,0,0,4
ecmaster,v0,20120122144701,0,0,0,3
ecmaster,v0,20120122145200,0,0,0,3
ecmaster,v0,20120122145700,0,0,0,3
ecmaster,v0,20120122150200,0,0,0,3
ecmaster,v0,20120122150700,0,0,0,3
ecmaster,v0,20120122151200,0,0,0,3
ecmaster,v0,20120122151700,0,0,0,3
ecmaster,v0,20120122162922,0,0,0,1
ecmaster,v0,20120122163700,0,0,0,2
ecmaster,v0,20120122164200,0,0,0,3
ecmaster,v0,20120122164809,0,0,0,3
ecmaster,v0,20120122165302,0,0,0,2
ecmaster,v0,20120122165720,0,0,0,3
ecmaster,v0,20120122170216,0,0,0,2
ecmaster,v0,20120122170700,0,0,0,4
ecmaster,v0,20120122171309,0,0,0,3
ecmaster,v0,20120122171802,0,0,0,2
ecmaster,v0,20120122172219,0,0,0,2
ecmaster,v0,20120122172713,0,0,0,2
ecmaster,v0,20120122173200,0,0,0,3
ecmaster,v0,20120122173700,0,0,0,3
ecmaster,v0,20120122174200,0,0,0,3
ecmaster,v0,20120122174700,0,0,0,3
ecmaster,v0,20120122175200,0,0,0,3
ecmaster,v0,20120122175700,0,0,0,3
ecmaster,v0,20120122180200,0,0,0,3
ecmaster,v0,20120122183200,0,0,0,3
ecmaster,v0,20120122183700,0,0,0,3
ecmaster,v0,20120122184200,0,0,0,3
ecmaster,v0,20120122184700,0,0,0,3
ecmaster,v0,20120122185200,0,0,0,3
ecmaster,v0,20120122185700,0,0,0,3
ecmaster,v0,20120122190200,0,0,0,3
ecmaster,v0,20120122190700,0,0,0,3
ecmaster,v0,20120122191200,0,0,0,3
ecmaster,v0,20120122191700,0,0,0,3
ecmaster,v0,20120122192200,0,0,0,3
ecmaster,v0,20120122192700,0,0,0,3
ecmaster,v0,20120122193200,0,0,0,3
ecmaster,v0,20120123001202,0,0,0,2
ecmaster,v0,20120127081200,0,0,0,4
ecmaster,v0,20120127081810,0,0,0,3
ecmaster,v0,20120127082302,0,0,0,2
ecmaster,v0,20120127082726,0,0,0,2
ecmaster,v0,20120127083218,0,0,0,2
ecmaster,v0,20120127083701,0,0,0,4
ecmaster,v0,20120127084314,0,0,0,3
ecmaster,v0,20120127084802,0,0,0,2
ecmaster,v0,20120127085230,0,0,0,2
ecmaster,v0,20120127085718,0,0,0,2
ecmaster,v0,20120127090200,0,0,0,3
ecmaster,v0,20120127090700,0,0,0,3
ecmaster,v0,20120127091200,0,0,0,3
ecmaster,v0,20120127091701,0,0,0,3
ecmaster,v0,20120127092200,0,0,0,3
ecmaster,v0,20120127092700,0,0,0,3
ecmaster,v0,20120127093200,0,0,0,3
ecmaster,v0,20120127093700,0,0,0,3
ecmaster,v0,20120127094200,0,0,0,3
ecmaster,v0,20120127094700,0,0,0,3
ecmaster,v0,20120127095200,0,0,0,3
ecmaster,v0,20120127095700,0,0,0,3
ecmaster,v0,20120127100201,0,0,0,3
ecmaster,v0,20120127100700,0,0,0,3
